grid_lon,grid_height,total_sample,total_sample_nr,nr_duration_ratio,total_sample_nr_low,nr_low_duration_ratio,total_sample_nr_mid,nr_mid_duration_ratio,nr_duration_ratio_plot
40.4651,90.0000,33.0000,33.0000,1.0000,0.0000,0.0000,33.0000,1.0000,1.7500
40.4651,120.0000,61.0000,61.0000,1.0000,0.0000,0.0000,61.0000,1.0000,1.7500
40.4652,0.0000,15.0000,12.0000,0.8000,11.0000,0.7333,1.0000,0.0667,0.8333
40.4652,30.0000,67.0000,66.0000,0.9851,0.0000,0.0000,66.0000,0.9851,1.4692
40.4652,60.0000,42.0000,42.0000,1.0000,0.0000,0.0000,42.0000,1.0000,1.7500
40.4652,90.0000,36.0000,36.0000,1.0000,0.0000,0.0000,36.0000,1.0000,1.7500
40.4652,120.0000,122.0000,122.0000,1.0000,0.0000,0.0000,122.0000,1.0000,1.7500
40.4653,0.0000,15.0000,13.0000,0.8667,12.0000,0.8000,1.0000,0.0667,0.9444
40.4653,30.0000,71.0000,71.0000,1.0000,0.0000,0.0000,71.0000,1.0000,1.7500
40.4653,60.0000,61.0000,59.0000,0.9672,0.0000,0.0000,59.0000,0.9672,1.3576
40.4653,90.0000,31.0000,31.0000,1.0000,0.0000,0.0000,31.0000,1.0000,1.7500
40.4653,120.0000,100.0000,100.0000,1.0000,0.0000,0.0000,100.0000,1.0000,1.7500
40.4654,0.0000,13.0000,12.0000,0.9231,12.0000,0.9231,0.0000,0.0000,1.1154
40.4654,30.0000,65.0000,65.0000,1.0000,0.0000,0.0000,65.0000,1.0000,1.7500
40.4654,60.0000,54.0000,54.0000,1.0000,0.0000,0.0000,54.0000,1.0000,1.7500
40.4654,90.0000,37.0000,36.0000,0.9730,0.0000,0.0000,36.0000,0.9730,1.3936
40.4654,120.0000,81.0000,81.0000,1.0000,0.0000,0.0000,81.0000,1.0000,1.7500
40.4655,0.0000,16.0000,13.0000,0.8125,12.0000,0.7500,1.0000,0.0625,0.8542
40.4655,30.0000,87.0000,87.0000,1.0000,0.0000,0.0000,87.0000,1.0000,1.7500
40.4655,60.0000,74.0000,74.0000,1.0000,0.0000,0.0000,74.0000,1.0000,1.7500
40.4655,90.0000,29.0000,29.0000,1.0000,0.0000,0.0000,29.0000,1.0000,1.7500
40.4655,120.0000,73.0000,73.0000,1.0000,0.0000,0.0000,73.0000,1.0000,1.7500
40.4656,0.0000,18.0000,13.0000,0.7222,12.0000,0.6667,1.0000,0.0556,0.7222
40.4656,30.0000,67.0000,66.0000,0.9851,0.0000,0.0000,66.0000,0.9851,1.4692
40.4656,60.0000,52.0000,52.0000,1.0000,0.0000,0.0000,52.0000,1.0000,1.7500
40.4656,90.0000,26.0000,25.0000,0.9615,0.0000,0.0000,25.0000,0.9615,1.3221
40.4656,120.0000,71.0000,71.0000,1.0000,0.0000,0.0000,71.0000,1.0000,1.7500
40.4657,0.0000,15.0000,11.0000,0.7333,10.0000,0.6667,1.0000,0.0667,0.7333
40.4657,30.0000,62.0000,62.0000,1.0000,0.0000,0.0000,62.0000,1.0000,1.7500
40.4657,60.0000,46.0000,46.0000,1.0000,0.0000,0.0000,46.0000,1.0000,1.7500
40.4657,90.0000,25.0000,25.0000,1.0000,0.0000,0.0000,25.0000,1.0000,1.7500
40.4657,120.0000,61.0000,61.0000,1.0000,0.0000,0.0000,61.0000,1.0000,1.7500
40.4658,0.0000,13.0000,11.0000,0.8462,10.0000,0.7692,1.0000,0.0769,0.9103
